Name:	osh
Umask:	0002
State:	R (running)
Tgid:	26861
Ngid:	0
Pid:	26861
PPid:	26860
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	26861
NSpid:	26861
NSpgid:	15748
NSsid:	6496
VmPeak:	  111260 kB
VmSize:	  111260 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   98676 kB
VmRSS:	   98676 kB
RssAnon:	   94716 kB
RssFile:	    3960 kB
RssShmem:	       0 kB
VmData:	   95040 kB
VmStk:	     132 kB
VmExe:	    1532 kB
VmLib:	    3400 kB
VmPTE:	     240 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/96040
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000000000000
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	ff
Cpus_allowed_list:	0-7
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	1
nonvoluntary_ctxt_switches:	5
