Name:	python
Umask:	0002
State:	R (running)
Tgid:	20341
Ngid:	0
Pid:	20341
PPid:	20340
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	20341
NSpid:	20341
NSpgid:	8839
NSsid:	32284
VmPeak:	  137300 kB
VmSize:	  137300 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	  102596 kB
VmRSS:	  102596 kB
RssAnon:	   96136 kB
RssFile:	    6460 kB
RssShmem:	       0 kB
VmData:	   96568 kB
VmStk:	     132 kB
VmExe:	    2984 kB
VmLib:	    5864 kB
VmPTE:	     288 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/96040
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000188000002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	ff
Cpus_allowed_list:	0-7
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	1
nonvoluntary_ctxt_switches:	7
