Name:	oil.py
Umask:	0002
State:	R (running)
Tgid:	26219
Ngid:	0
Pid:	26219
PPid:	26218
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	26219
NSpid:	26219
NSpgid:	1332
NSsid:	1690
VmPeak:	   48404 kB
VmSize:	   48300 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   10360 kB
VmRSS:	   10304 kB
RssAnon:	    5160 kB
RssFile:	    5144 kB
RssShmem:	       0 kB
VmData:	    5580 kB
VmStk:	     132 kB
VmExe:	    2936 kB
VmLib:	    3916 kB
VmPTE:	     108 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/14456
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001002
SigCgt:	0000000188000000
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	f
Cpus_allowed_list:	0-3
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	3
nonvoluntary_ctxt_switches:	8
